Date,Store_ID,Product_ID,Units_Sold,Revenue
2024-01-01,Store_1,Product_A,45,3706.89
2024-01-01,Store_1,Product_B,32,1039.41
2024-01-01,Store_1,Product_C,27,1260.81
2024-01-01,Store_1,Product_D,44,3372.42
2024-01-01,Store_1,Product_E,31,2947.61
2024-01-01,Store_2,Product_A,10,345.46
2024-01-01,Store_2,Product_B,37,760.92
2024-01-01,Store_2,Product_C,41,1775.23
2024-01-01,Store_2,Product_D,38,1922.68
2024-01-01,Store_2,Product_E,8,710.36
2024-01-01,Store_3,Product_A,12,333.77
2024-01-01,Store_3,Product_B,33,1296.31
2024-01-01,Store_3,Product_C,21,711.25
2024-01-01,Store_3,Product_D,27,1098.96
2024-01-01,Store_3,Product_E,46,1685.23
2024-01-02,Store_1,Product_A,20,695.77
2024-01-02,Store_1,Product_B,28,2625.0
2024-01-02,Store_1,Product_C,21,1378.35
2024-01-02,Store_1,Product_D,51,3221.94
2024-01-02,Store_1,Product_E,36,1747.45
2024-01-02,Store_2,Product_A,40,3132.82
2024-01-02,Store_2,Product_B,46,3149.93
2024-01-02,Store_2,Product_C,51,4488.16
2024-01-02,Store_2,Product_D,22,1022.38
2024-01-02,Store_2,Product_E,38,2557.55
2024-01-02,Store_3,Product_A,37,3366.15
2024-01-02,Store_3,Product_B,11,967.04
2024-01-02,Store_3,Product_C,13,843.73
2024-01-02,Store_3,Product_D,39,2113.93
2024-01-02,Store_3,Product_E,17,614.34
2024-01-03,Store_1,Product_A,33,2002.63
2024-01-03,Store_1,Product_B,44,1370.45
2024-01-03,Store_1,Product_C,55,2106.71
2024-01-03,Store_1,Product_D,38,2580.55
2024-01-03,Store_1,Product_E,32,1396.82
2024-01-03,Store_2,Product_A,19,1073.93
2024-01-03,Store_2,Product_B,29,2453.26
2024-01-03,Store_2,Product_C,41,1988.66
2024-01-03,Store_2,Product_D,46,921.91
2024-01-03,Store_2,Product_E,15,1332.88
2024-01-03,Store_3,Product_A,48,2821.75
2024-01-03,Store_3,Product_B,35,1035.62
2024-01-03,Store_3,Product_C,32,1968.1
2024-01-03,Store_3,Product_D,23,923.28
2024-01-03,Store_3,Product_E,7,698.73
2024-01-04,Store_1,Product_A,13,782.79
2024-01-04,Store_1,Product_B,34,1331.61
2024-01-04,Store_1,Product_C,9,562.27
2024-01-04,Store_1,Product_D,40,1560.44
2024-01-04,Store_1,Product_E,50,2471.13
2024-01-04,Store_2,Product_A,45,1225.04
2024-01-04,Store_2,Product_B,52,1666.98
2024-01-04,Store_2,Product_C,18,829.38
2024-01-04,Store_2,Product_D,47,1002.37
2024-01-04,Store_2,Product_E,9,249.25
2024-01-04,Store_3,Product_A,47,2434.87
2024-01-04,Store_3,Product_B,44,4134.92
2024-01-04,Store_3,Product_C,37,2799.52
2024-01-04,Store_3,Product_D,21,1352.74
2024-01-04,Store_3,Product_E,13,1296.1
2024-01-05,Store_1,Product_A,36,1263.48
2024-01-05,Store_1,Product_B,66,5017.89
2024-01-05,Store_1,Product_C,40,1069.25
2024-01-05,Store_1,Product_D,31,2567.64
2024-01-05,Store_1,Product_E,74,1509.96
2024-01-05,Store_2,Product_A,36,2118.57
2024-01-05,Store_2,Product_B,60,4618.46
2024-01-05,Store_2,Product_C,66,3927.76
2024-01-05,Store_2,Product_D,50,3883.76
2024-01-05,Store_2,Product_E,59,3740.79
2024-01-05,Store_3,Product_A,42,4109.32
2024-01-05,Store_3,Product_B,21,1480.31
2024-01-05,Store_3,Product_C,71,5219.49
2024-01-05,Store_3,Product_D,56,1994.69
2024-01-05,Store_3,Product_E,49,1150.93
2024-01-06,Store_1,Product_A,57,3282.95
2024-01-06,Store_1,Product_B,21,2043.98
2024-01-06,Store_1,Product_C,69,6791.43
2024-01-06,Store_1,Product_D,41,2411.72
2024-01-06,Store_1,Product_E,36,2323.59
2024-01-06,Store_2,Product_A,54,2177.99
2024-01-06,Store_2,Product_B,23,1053.49
2024-01-06,Store_2,Product_C,78,3803.22
2024-01-06,Store_2,Product_D,62,2710.69
2024-01-06,Store_2,Product_E,54,5025.2
2024-01-06,Store_3,Product_A,25,1503.03
2024-01-06,Store_3,Product_B,50,4183.17
2024-01-06,Store_3,Product_C,36,3273.46
2024-01-06,Store_3,Product_D,32,2120.4
2024-01-06,Store_3,Product_E,45,2081.35
2024-01-07,Store_1,Product_A,44,1011.47
2024-01-07,Store_1,Product_B,22,973.75
2024-01-07,Store_1,Product_C,76,2832.19
2024-01-07,Store_1,Product_D,21,1188.21
2024-01-07,Store_1,Product_E,22,1391.52
2024-01-07,Store_2,Product_A,70,5466.11
2024-01-07,Store_2,Product_B,32,1749.81
2024-01-07,Store_2,Product_C,50,1101.4
2024-01-07,Store_2,Product_D,56,1380.71
2024-01-07,Store_2,Product_E,11,609.27
2024-01-07,Store_3,Product_A,70,5097.11
2024-01-07,Store_3,Product_B,17,1638.62
2024-01-07,Store_3,Product_C,68,5331.41
2024-01-07,Store_3,Product_D,27,1075.1
2024-01-07,Store_3,Product_E,34,936.11
2024-01-08,Store_1,Product_A,37,3272.16
2024-01-08,Store_1,Product_B,9,533.96
2024-01-08,Store_1,Product_C,47,2242.1
2024-01-08,Store_1,Product_D,36,3453.54
2024-01-08,Store_1,Product_E,45,1063.09
2024-01-08,Store_2,Product_A,55,4109.44
2024-01-08,Store_2,Product_B,25,641.14
2024-01-08,Store_2,Product_C,11,1047.4
2024-01-08,Store_2,Product_D,31,2299.38
2024-01-08,Store_2,Product_E,40,2545.97
2024-01-08,Store_3,Product_A,56,3924.21
2024-01-08,Store_3,Product_B,11,282.65
2024-01-08,Store_3,Product_C,13,660.81
2024-01-08,Store_3,Product_D,15,1136.08
2024-01-08,Store_3,Product_E,18,1623.56
2024-01-09,Store_1,Product_A,47,3000.37
2024-01-09,Store_1,Product_B,45,3602.21
2024-01-09,Store_1,Product_C,43,2139.74
2024-01-09,Store_1,Product_D,48,3189.29
2024-01-09,Store_1,Product_E,39,3134.17
2024-01-09,Store_2,Product_A,36,3319.35
2024-01-09,Store_2,Product_B,26,2382.69
2024-01-09,Store_2,Product_C,49,1022.48
2024-01-09,Store_2,Product_D,26,2496.13
2024-01-09,Store_2,Product_E,24,1426.61
2024-01-09,Store_3,Product_A,16,740.69
2024-01-09,Store_3,Product_B,27,2165.13
2024-01-09,Store_3,Product_C,30,2834.23
2024-01-09,Store_3,Product_D,49,4884.05
2024-01-09,Store_3,Product_E,15,1147.0
2024-01-10,Store_1,Product_A,29,2176.23
2024-01-10,Store_1,Product_B,23,1972.22
2024-01-10,Store_1,Product_C,12,318.09
2024-01-10,Store_1,Product_D,48,4274.45
2024-01-10,Store_1,Product_E,23,1955.55
2024-01-10,Store_2,Product_A,12,986.06
2024-01-10,Store_2,Product_B,46,2481.14
2024-01-10,Store_2,Product_C,31,1249.13
2024-01-10,Store_2,Product_D,27,1774.38
2024-01-10,Store_2,Product_E,35,2333.43
2024-01-10,Store_3,Product_A,37,3311.05
2024-01-10,Store_3,Product_B,53,5206.3
2024-01-10,Store_3,Product_C,28,657.22
2024-01-10,Store_3,Product_D,32,1979.13
2024-01-10,Store_3,Product_E,23,1001.87
2024-01-11,Store_1,Product_A,16,1473.48
2024-01-11,Store_1,Product_B,29,1231.83
2024-01-11,Store_1,Product_C,40,1141.62
2024-01-11,Store_1,Product_D,13,436.47
2024-01-11,Store_1,Product_E,34,2267.54
2024-01-11,Store_2,Product_A,34,1660.14
2024-01-11,Store_2,Product_B,35,2978.63
2024-01-11,Store_2,Product_C,38,1583.71
2024-01-11,Store_2,Product_D,15,1419.27
2024-01-11,Store_2,Product_E,23,508.52
2024-01-11,Store_3,Product_A,41,4051.74
2024-01-11,Store_3,Product_B,27,1823.32
2024-01-11,Store_3,Product_C,33,1755.12
2024-01-11,Store_3,Product_D,16,337.5
2024-01-11,Store_3,Product_E,16,1279.89
2024-01-12,Store_1,Product_A,27,1739.73
2024-01-12,Store_1,Product_B,73,3666.65
2024-01-12,Store_1,Product_C,49,2746.13
2024-01-12,Store_1,Product_D,15,574.37
2024-01-12,Store_1,Product_E,76,5278.22
2024-01-12,Store_2,Product_A,38,3287.37
2024-01-12,Store_2,Product_B,30,2559.33
2024-01-12,Store_2,Product_C,18,965.57
2024-01-12,Store_2,Product_D,81,5639.61
2024-01-12,Store_2,Product_E,17,1167.0
2024-01-12,Store_3,Product_A,40,2055.18
2024-01-12,Store_3,Product_B,55,3508.76
2024-01-12,Store_3,Product_C,60,4961.53
2024-01-12,Store_3,Product_D,63,6045.58
2024-01-12,Store_3,Product_E,21,1191.7
2024-01-13,Store_1,Product_A,30,1701.93
2024-01-13,Store_1,Product_B,64,4458.53
2024-01-13,Store_1,Product_C,22,862.66
2024-01-13,Store_1,Product_D,40,1209.75
2024-01-13,Store_1,Product_E,68,2339.57
2024-01-13,Store_2,Product_A,15,714.8
2024-01-13,Store_2,Product_B,18,1761.28
2024-01-13,Store_2,Product_C,47,4029.93
2024-01-13,Store_2,Product_D,36,975.46
2024-01-13,Store_2,Product_E,12,753.05
2024-01-13,Store_3,Product_A,28,1687.65
2024-01-13,Store_3,Product_B,48,1110.96
2024-01-13,Store_3,Product_C,50,3993.04
2024-01-13,Store_3,Product_D,32,2013.67
2024-01-13,Store_3,Product_E,50,3125.06
2024-01-14,Store_1,Product_A,12,957.57
2024-01-14,Store_1,Product_B,38,3038.83
2024-01-14,Store_1,Product_C,42,2343.31
2024-01-14,Store_1,Product_D,61,4818.54
2024-01-14,Store_1,Product_E,54,1166.71
2024-01-14,Store_2,Product_A,35,1035.33
2024-01-14,Store_2,Product_B,33,1565.33
2024-01-14,Store_2,Product_C,56,3353.02
2024-01-14,Store_2,Product_D,70,4407.8
